Invasion of Ravnica // Guildpact Paragon,mom,4/21/2023,,Battle,Siege,{5},5,,4,Mythic Rare,0,0,0,0,0,0,https://scryfall.com/card/mom/1/invasion-of-ravnica-guildpact-paragon
Aerial Boost,mom,4/21/2023,,Instant,,{1}{W},2,,,Common,1,0,0,0,0,1,https://scryfall.com/card/mom/2/aerial-boost
Alabaster Host Intercessor,mom,4/21/2023,,Creature,Phyrexian Samurai,{5}{W},6,3,4,Common,1,0,0,0,0,2,https://scryfall.com/card/mom/3/alabaster-host-intercessor
Alabaster Host Sanctifier,mom,4/21/2023,,Creature,Phyrexian Cleric,{1}{W},2,2,2,Common,1,0,0,0,0,3,https://scryfall.com/card/mom/4/alabaster-host-sanctifier
Angelic Intervention,mom,4/21/2023,,Instant,,{1}{W},2,,,Common,1,0,0,0,0,4,https://scryfall.com/card/mom/5/angelic-intervention
Archangel Elspeth,mom,4/21/2023,Legendary ,Planeswalker,Elspeth,{2}{W}{W},4,,4,Mythic Rare,1,0,0,0,0,5,https://scryfall.com/card/mom/6/archangel-elspeth
Attentive Skywarden,mom,4/21/2023,,Creature,Phyrexian Kor,{2}{W},3,2,2,Common,1,0,0,0,0,6,https://scryfall.com/card/mom/7/attentive-skywarden
Bola Slinger,mom,4/21/2023,,Creature,Cat Soldier,{3}{W},4,2,2,Common,1,0,0,0,0,7,https://scryfall.com/card/mom/8/bola-slinger
Boon-Bringer Valkyrie,mom,4/21/2023,,Creature,Angel Warrior,{3}{W}{W},5,4,4,Rare,1,0,0,0,0,8,https://scryfall.com/card/mom/9/boon-bringer-valkyrie
Cut Short,mom,4/21/2023,,Instant,,{2}{W},3,,,Common,1,0,0,0,0,9,https://scryfall.com/card/mom/10/cut-short
Dusk Legion Duelist,mom,4/21/2023,,Creature,Vampire Soldier,{1}{W},2,2,2,Rare,1,0,0,0,0,10,https://scryfall.com/card/mom/11/dusk-legion-duelist
Elesh Norn // The Argent Etchings,mom,4/21/2023,Legendary ,Creature,Phyrexian Praetor,{2}{W}{W},4,3,5,Mythic Rare,1,0,0,0,0,11,https://scryfall.com/card/mom/12/elesh-norn-the-argent-etchings
Elspeth's Smite,mom,4/21/2023,,Instant,,{W},1,,,Uncommon,1,0,0,0,0,12,https://scryfall.com/card/mom/13/elspeths-smite
Enduring Bondwarden,mom,4/21/2023,,Creature,Human Scout,{W},1,0,1,Common,1,0,0,0,0,13,https://scryfall.com/card/mom/14/enduring-bondwarden
Golden-Scale Aeronaut,mom,4/21/2023,,Creature,Dwarf Pilot,{4}{W},5,2,3,Common,1,0,0,0,0,14,https://scryfall.com/card/mom/15/golden-scale-aeronaut
Guardian of Ghirapur,mom,4/21/2023,,Creature,Angel,{2}{W},3,3,3,Rare,1,0,0,0,0,15,https://scryfall.com/card/mom/16/guardian-of-ghirapur
"Heliod, the Radiant Dawn // Heliod, the Warped Eclipse",mom,4/21/2023,Legendary ,Enchantment Creature,God,{2}{W}{W},4,4,4,Rare,1,0,0,0,0,16,https://scryfall.com/card/mom/17/heliod-the-radiant-dawn-heliod-the-warped-eclipse
Infected Defector,mom,4/21/2023,,Creature,Phyrexian Knight,{4}{W},5,4,3,Common,1,0,0,0,0,17,https://scryfall.com/card/mom/18/infected-defector
Inspired Charge,mom,4/21/2023,,Instant,,{2}{W}{W},4,,,Common,1,0,0,0,0,18,https://scryfall.com/card/mom/19/inspired-charge
Invasion of Belenon // Belenon War Anthem,mom,4/21/2023,,Battle,Siege,{2}{W},3,,5,Uncommon,1,0,0,0,0,19,https://scryfall.com/card/mom/20/invasion-of-belenon-belenon-war-anthem
Invasion of Dominaria // Serra Faithkeeper,mom,4/21/2023,,Battle,Siege,{2}{W},3,,5,Uncommon,1,0,0,0,0,20,https://scryfall.com/card/mom/21/invasion-of-dominaria-serra-faithkeeper
Invasion of Gobakhan // Lightshield Array,mom,4/21/2023,,Battle,Siege,{1}{W},2,,3,Rare,1,0,0,0,0,21,https://scryfall.com/card/mom/22/invasion-of-gobakhan-lightshield-array
"Invasion of Theros // Ephara, Ever-Sheltering",mom,4/21/2023,,Battle,Siege,{2}{W},3,,4,Rare,1,0,0,0,0,22,https://scryfall.com/card/mom/23/invasion-of-theros-ephara-ever-sheltering
Kithkin Billyrider,mom,4/21/2023,,Creature,Kithkin Knight,{2}{W},3,1,3,Common,1,0,0,0,0,23,https://scryfall.com/card/mom/24/kithkin-billyrider
Knight of the New Coalition,mom,4/21/2023,,Creature,Human Knight,{3}{W},4,2,2,Common,1,0,0,0,0,24,https://scryfall.com/card/mom/25/knight-of-the-new-coalition
Knight-Errant of Eos,mom,4/21/2023,,Creature,Human Knight,{4}{W},5,4,4,Rare,1,0,0,0,0,25,https://scryfall.com/card/mom/26/knight-errant-of-eos
Kor Halberd,mom,4/21/2023,,Artifact,Equipment,{W},1,,,Common,1,0,0,0,0,26,https://scryfall.com/card/mom/27/kor-halberd
Monastery Mentor,mom,4/21/2023,,Creature,Human Monk,{2}{W},3,2,2,Mythic Rare,1,0,0,0,0,27,https://scryfall.com/card/mom/28/monastery-mentor
Norn's Inquisitor,mom,4/21/2023,,Creature,Phyrexian Knight,{1}{W},2,1,1,Uncommon,1,0,0,0,0,28,https://scryfall.com/card/mom/29/norns-inquisitor
Phyrexian Awakening,mom,4/21/2023,,Enchantment,,{2}{W},3,,,Uncommon,1,0,0,0,0,29,https://scryfall.com/card/mom/30/phyrexian-awakening
Phyrexian Censor,mom,4/21/2023,,Creature,Phyrexian Wizard,{2}{W},3,3,3,Uncommon,1,0,0,0,0,30,https://scryfall.com/card/mom/31/phyrexian-censor
Progenitor Exarch,mom,4/21/2023,,Creature,Phyrexian Cat Cleric,{X}{X}{W},1,1,2,Rare,1,0,0,0,0,31,https://scryfall.com/card/mom/32/progenitor-exarch
